SINAN | 2022/08/14 17:10:12.989 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:12:30.539 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:12:31.956 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":28,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:14:10.261 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:14:11.595 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":29,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:14:57.186 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:14:58.655 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":30,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:15:48.007 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:15:57.805 | Info | {"ReturnValue":{"Success":true,"Message":"New car succesfully added."},"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":31,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 17:59:37.119 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":0,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/14 22:52:15.929 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:09:40.341 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:09:54.936 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:09:59.746 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:10:09.083 | Info | {"ReturnValue":{"Data":[{"Id":1,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":2500,"Description":"Sahibinden temiz"},{"Id":2,"BrandId":2,"ColorId":1,"ModelYear":2021,"DailyPrice":2000,"Description":"Dosta gider"},{"Id":3,"BrandId":3,"ColorId":2,"ModelYear":2022,"DailyPrice":2249,"Description":"Hafif kusurlu"}],"Success":true,"Message":"All cars get"},"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:11:23.307 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:11:32.690 | Error | {"ErrorMessage":"Value cannot be null. (Parameter \u0027key\u0027)","MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogError | 
SINAN | 2022/08/15 00:11:51.746 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:11:53.335 | Error | {"ErrorMessage":"An error occurred while saving the entity changes. See the inner exception for details.","MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogError | 
SINAN | 2022/08/15 00:12:17.630 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:12:17.831 | Error | {"ErrorMessage":"An error occurred while saving the entity changes. See the inner exception for details.","MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogError | 
SINAN | 2022/08/15 00:12:43.698 | Info | {"MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:12:51.537 | Error | {"ErrorMessage":"Value cannot be null. (Parameter \u0027key\u0027)","MethodName":"GetAll","LogParameters":[]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogError | 
SINAN | 2022/08/15 00:13:29.791 | Info | {"MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogInfo | 
SINAN | 2022/08/15 00:13:31.747 | Error | {"ErrorMessage":"An error occurred while saving the entity changes. See the inner exception for details.","MethodName":"Add","LogParameters":[{"Name":"car","Value":{"Id":0,"BrandId":1,"ColorId":1,"ModelYear":2022,"DailyPrice":3000,"Description":"Sahibinden temiz2"},"Type":"Car"}]} | FileLogger | Core.CrossCuttingConcerns.Logging.NLog.NLogBaseLogger.LogError | 
